bc_id	bc_description	bc_type	bc_multiplier	lowerbound	lowerbound_perunit_penalty	upperbound	upperbound_perunit_penalty	bookeeping_var_id	bookeeping_var_name	bookeeping_var_value	bookeeping_var_reduced_cost	total_penalty
2	Timber Per 1	HARD	1.0	5.7E8	1.0	null	null	3	z_0	5.7E8	2.415218624578188	0.0
3	cuft harv 1 - time period 1	FREE	1.0	null	null	null	null	4	v_0	1.0950832045351183E8	0.0	0.0
4	cuft harv 2 - time period 2	FREE	1.0	null	null	null	null	5	v_1	1.0950832045351183E8	0.0	0.0
5	cuft harv 3 - time period 3	FREE	1.0	null	null	null	null	6	v_2	1.0950832045351183E8	0.0	0.0
6	cuft harv 4 - time period 4	FREE	1.0	null	null	null	null	7	v_3	1.0950832045351183E8	0.0	0.0
7	cuft harv 5 - time period 5	FREE	1.0	null	null	null	null	8	v_4	1.0950832045351183E8	0.0	0.0
8	cuft harv 6 - time period 6	FREE	1.0	null	null	null	null	9	v_5	1.0950832045351183E8	0.0	0.0
9	cuft harv 7 - time period 7	FREE	1.0	null	null	null	null	10	v_6	1.0950832045351183E8	0.0	0.0
10	cuft harv 8 - time period 8	FREE	1.0	null	null	null	null	11	v_7	1.0950832045351183E8	0.0	0.0
11	cuft harv 9 - time period 9	FREE	1.0	null	null	null	null	12	v_8	1.0950832045351183E8	0.0	0.0
12	cuft harv 10 - time period 10	FREE	1.0	null	null	null	null	13	v_9	1.0950832045351183E8	0.0	0.0
13	cuft harv 11 - time period 11	FREE	1.0	null	null	null	null	14	v_10	1.0950832045351183E8	0.0	0.0
14	cuft harv 12 - time period 12	FREE	1.0	null	null	null	null	15	v_11	1.0950832045351183E8	0.0	0.0
15	cuft harv 13 - time period 13	FREE	1.0	null	null	null	null	16	v_12	1.1007649190696473E8	0.0	0.0
16	cuft harv 14 - time period 14	FREE	1.0	null	null	null	null	17	v_13	1.1097674109912148E8	0.0	0.0
17	cuft harv 15 - time period 15	FREE	1.0	null	null	null	null	18	v_14	1.1097674109912148E8	0.0	0.0
18	AvgStandVol10-19	FREE	0.1	null	null	null	null	19	v_15	2.897049009145342E10	0.0	0.0
19	BegPerVol 20	FREE	1.0	null	null	null	null	20	v_16	2.942938890692674E10	0.0	0.0
21	CustBF 1 - time period 1	FREE	1.0	null	null	null	null	21	v_17	2.261076093409328E8	0.0	0.0
22	CustBF 2 - time period 2	FREE	1.0	null	null	null	null	22	v_18	2.1480222887388617E8	0.0	0.0
23	CustBF 3 - time period 3	FREE	1.0	null	null	null	null	23	v_19	2.0406211743019184E8	0.0	0.0
24	CustBF 4 - time period 4	FREE	1.0	null	null	null	null	24	v_20	2.038917070016663E8	0.0	0.0
25	CustBF 5 - time period 5	FREE	1.0	null	null	null	null	25	v_21	2.1408629235174963E8	0.0	0.0
26	CustBF 6 - time period 6	FREE	1.0	null	null	null	null	26	v_22	2.2479060696933714E8	0.0	0.0
27	CustBF 7 - time period 7	FREE	1.0	null	null	null	null	27	v_23	2.36030137317804E8	0.0	0.0
28	CustBF 8 - time period 8	FREE	1.0	null	null	null	null	28	v_24	2.3828557520109835E8	0.0	0.0
29	CustBF 9 - time period 9	FREE	1.0	null	null	null	null	29	v_25	2.5019985396115327E8	0.0	0.0
30	CustBF 10 - time period 10	FREE	1.0	null	null	null	null	30	v_26	2.6270984665921095E8	0.0	0.0
31	CustBF 11 - time period 11	FREE	1.0	null	null	null	null	31	v_27	2.758453389921715E8	0.0	0.0
32	CustBF 12 - time period 12	FREE	1.0	null	null	null	null	32	v_28	2.896376059417801E8	0.0	0.0
33	CustBF 13 - time period 13	FREE	1.0	null	null	null	null	33	v_29	3.0411948623886913E8	0.0	0.0
34	CustBF 14 - time period 14	FREE	1.0	null	null	null	null	34	v_30	3.193254605508126E8	0.0	0.0
35	CustBF 15 - time period 15	FREE	1.0	null	null	null	null	35	v_31	3.352917335783532E8	0.0	0.0
36	GallBF 1 - time period 1	FREE	1.0	null	null	null	null	36	v_32	3.4389239065906733E8	0.0	0.0
37	GallBF 2 - time period 2	FREE	1.0	null	null	null	null	37	v_33	3.2669777112611395E8	0.0	0.0
38	GallBF 3 - time period 3	FREE	1.0	null	null	null	null	38	v_34	3.4303265968241966E8	0.0	0.0
39	GallBF 4 - time period 4	FREE	1.0	null	null	null	null	39	v_35	3.601842926665407E8	0.0	0.0
40	GallBF 5 - time period 5	FREE	1.0	null	null	null	null	40	v_36	3.591518469830809E8	0.0	0.0
41	GallBF 6 - time period 6	FREE	1.0	null	null	null	null	41	v_37	3.4237052734587216E8	0.0	0.0
