iteration	flow_id	flow_description	flow_arrangement	flow_type	lowerbound_percentage	upperbound_percentage	flow_output_original
0	1	NDEF CuFt	2;3;4;5;6;7;8;9;10;11;12;13;14;15;16	HARD	100.0	null	1614338.7238329058;3879483.034609291;7373838.83884233;1.0435122167004839E7;1.1225180956778279E7;1.1225180956778279E7;1.1225180956778279E7;1.1225180956778279E7;1.1225180956778279E7;1.298614360171406E7;1.298614360171406E7;1.298614360171406E7;1.298614360171406E7;1.298614360171406E7;1.298614360171406E7
0	2	EndingInv	17 620;18	HARD	100.0	null	1.1182070796897895E9;1.1182070796897895E9
0	3	wui per1 bud	334;339	HARD	41.0	null	3.065726E7;1.25694766E7
0	4	wui per2 bud	335;340	HARD	41.0	null	3.065726E7;1.25694766E7
0	5	wui per3bud	336;341	HARD	41.0	null	3.065726E7;1.25694766E7
0	6	wui per4 bud	337;342	HARD	41.0	null	3.065726E7;1.25694766E7
0	7	wui per5 bud	338;343	HARD	41.0	null	3.065726E7;1.25694766E7
0	8	Nonwui per1 bud	334;344	HARD	23.0	null	3.065726E7;7270988.17108064
0	9	Nonwui per2 bud	335;345	HARD	23.0	null	3.065726E7;7051169.800000001
0	10	Nonwui per3 bud	336;346	HARD	23.0	null	3.065726E7;7051169.800000001
0	11	Nonwui per4 bud	337;347	HARD	23.0	null	3.065726E7;7051169.800000001
0	12	Nonwui per5 bud	338;348	HARD	23.0	null	3.065726E7;9828759.284951147
